iter	Passed	Remaining
309	5148	11458
310	5163	11439
311	5179	11421
312	5195	11402
313	5210	11384
314	5226	11366
315	5241	11345
316	5257	11327
317	5274	11311
318	5290	11294
319	5306	11276
320	5323	11259
321	5338	11241
322	5355	11224
323	5370	11204
324	5386	11187
325	5401	11167
326	5417	11149
327	5433	11131
328	5449	11114
329	5465	11096
330	5480	11076
331	5496	11058
332	5511	11039
333	5527	11021
334	5542	11002
335	5558	10984
336	5574	10967
337	5590	10949
338	5606	10931
339	5621	10913
340	5637	10894
341	5652	10874
342	5667	10855
343	5683	10839
344	5698	10819
345	5715	10803
346	5731	10785
347	5747	10768
348	5764	10752
349	5780	10735
350	5796	10717
351	5811	10698
352	5827	10680
353	5842	10661
354	5857	10642
355	5873	10624
356	5888	10606
357	5904	10589
358	5920	10571
359	5936	10552
360	5951	10535
361	5967	10517
362	5982	10498
363	5997	10479
364	6014	10463
365	6029	10444
366	6045	10427
367	6062	10411
368	6078	10394
369	6093	10376
370	6110	10359
371	6125	10340
372	6140	10321
373	6155	10302
374	6170	10284
375	6186	10266
376	6202	10248
377	6218	10231
378	6234	10215
379	6250	10197
380	6265	10180
381	6281	10162
382	6297	10144
383	6312	10126
384	6327	10108
385	6342	10088
386	6358	10071
387	6374	10054
388	6390	10037
389	6406	10020
390	6422	10003
391	6437	9984
392	6453	9966
393	6468	9948
394	6483	9930
395	6500	9914
396	6516	9897
397	6532	9881
398	6549	9864
399	6564	9847
400	6581	9830
401	6597	9814
402	6614	9798
403	6631	9782
404	6647	9765
405	6664	9750
406	6681	9735
407	6697	9718
408	6713	9701
409	6731	9686
410	6748	9671
411	6765	9656
412	6783	9641
413	6800	9625
414	6816	9609
415	6833	9593
416	6850	9577
417	6867	9561
418	6884	9546
419	6902	9531
420	6920	9517
421	6936	9501
422	6953	9484
423	6970	9469
424	6985	9450
425	7001	9433
426	7016	9415
427	7031	9397
428	7047	9380
429	7064	9364
430	7079	9346
431	7095	9329
432	7111	9312
433	7127	9294
434	7142	9277
435	7158	9259
436	7173	9242
437	7189	9224
438	7205	9207
439	7221	9190
440	7237	9173
441	7252	9155
442	7268	9138
443	7283	9120
444	7299	9103
445	7313	9084
446	7329	9067
447	7345	9050
448	7362	9035
449	7378	9018
450	7394	9001
451	7409	8983
452	7425	8965
453	7440	8948
454	7456	8930
455	7472	8914
456	7488	8897
457	7504	8880
458	7520	8863
459	7535	8845
460	7550	8827
461	7566	8810
462	7581	8793
463	7597	8775
464	7612	8758
465	7627	8740
466	7643	8724
467	7659	8706
468	7675	8689
469	7691	8673
470	7708	8657
471	7724	8641
472	7740	8624
473	7756	8607
474	7771	8589
475	7787	8572
476	7803	8556
477	7820	8540
478	7836	8523
479	7852	8506
480	7867	8489
481	7882	8471
482	7899	8455
483	7914	8438
484	7930	8420
485	7946	8404
486	7962	8387
487	7978	8370
488	7994	8353
489	8009	8336
490	8025	8319
491	8041	8303
492	8056	8285
493	8072	8268
494	8088	8252
495	8105	8236
496	8122	8220
497	8139	8205
498	8155	8188
499	8172	8172
500	8188	8155
501	8204	8138
502	8220	8122
503	8236	8106
504	8252	8089
505	8268	8072
506	8284	8055
507	8299	8038
508	8315	8021
509	8330	8004
510	8345	7986
511	8361	7969
512	8376	7951
513	8392	7935
514	8406	7917
515	8422	7900
516	8438	7883
517	8455	7867
518	8471	7850
519	8487	7834
520	8503	7818
521	8519	7801
522	8535	7784
523	8550	7767
524	8565	7750
525	8581	7733
526	8597	7716
527	8613	7699
528	8628	7682
529	8644	7665
530	8661	7650
531	8679	7635
532	8697	7620
533	8714	7604
534	8730	7588
535	8747	7572
536	8764	7556
537	8782	7541
538	8799	7526
539	8815	7509
540	8831	7493
541	8848	7476
542	8864	7460
543	8881	7444
544	8896	7427
545	8911	7410
546	8926	7392
547	8942	7376
548	8958	7359
549	8975	7343
550	8991	7326
551	9007	7310
552	9022	7292
553	9037	7275
554	9052	7258
555	9068	7241
556	9084	7224
557	9100	7208
558	9116	7191
559	9132	7175
560	9145	7156
561	9161	7140
562	9176	7122
563	9192	7106
564	9208	7089
565	9223	7072
566	9239	7056
567	9254	7038
568	9270	7021
569	9285	7004
570	9300	6987
571	9315	6970
572	9331	6953
573	9346	6936
574	9362	6920
575	9378	6903
576	9394	6887
577	9410	6870
578	9426	6853
579	9442	6837
580	9457	6820
581	9473	6804
582	9489	6787
583	9505	6770
584	9520	6753
585	9536	6737
586	9553	6721
587	9568	6704
588	9583	6687
589	9599	6670
590	9614	6653
591	9631	6637
592	9647	6621
593	9664	6605
594	9680	6589
595	9698	6573
596	9714	6557
597	9730	6541
598	9744	6523
599	9759	6506
600	9776	6490
601	9790	6472
602	9804	6454
603	9820	6438
604	9836	6421
605	9851	6404
606	9867	6388
607	9882	6371
608	9896	6354
609	9912	6337
610	9928	6321
611	9944	6304
612	9959	6287
613	9974	6270
614	9989	6253
615	10004	6236
616	10020	6219
617	10035	6203
618	10051	6186
619	10067	6170
620	10083	6154
621	10099	6137
622	10114	6120
623	10130	6104
624	10145	6087
625	10160	6070
626	10176	6053
627	10191	6036
628	10205	6019
629	10221	6003
630	10238	5987
631	10253	5970
632	10268	5953
633	10284	5936
634	10300	5920
635	10316	5904
636	10331	5887
637	10347	5871
638	10363	5855
639	10379	5838
640	10392	5820
641	10408	5803
642	10423	5787
643	10440	5771
644	10456	5755
645	10471	5738
646	10486	5721
647	10502	5705
648	10518	5688
649	10533	5671
650	10548	5655
651	10563	5638
652	10579	5621
653	10594	5605
654	10610	5588
655	10627	5573
656	10644	5557
657	10662	5541
658	10678	5525
659	10693	5508
660	10710	5492
661	10727	5477
662	10744	5461
663	10761	5445
664	10777	5429
665	10794	5413
666	10810	5397
667	10828	5381
668	10844	5365
669	10859	5348
670	10875	5332
671	10891	5316
672	10907	5299
673	10923	5283
674	10939	5267
675	10954	5250
676	10970	5233
677	10986	5217
678	11002	5201
679	11018	5184
680	11034	5168
681	11049	5152
682	11065	5135
683	11080	5118
684	11095	5102
685	11112	5086
686	11127	5069
687	11143	5053
688	11158	5036
689	11174	5020
690	11188	5003
691	11204	4986
692	11220	4970
693	11236	4954
694	11254	4938
695	11269	4922
696	11285	4905
697	11301	4889
698	11317	4873
699	11331	4856
700	11347	4840
701	11363	4823
702	11379	4807
703	11394	4790
704	11409	4774
705	11425	4757
706	11441	4741
707	11458	4725
708	11473	4709
709	11489	4693
710	11505	4676
711	11521	4660
712	11536	4643
713	11552	4627
714	11568	4611
715	11582	4594
716	11600	4578
717	11617	4563
718	11635	4547
719	11653	4531
720	11668	4515
721	11685	4499
722	11701	4483
723	11718	4467
724	11733	4450
725	11747	4433
726	11762	4417
727	11777	4400
728	11793	4383
729	11807	4367
730	11823	4350
731	11839	4334
732	11854	4318
733	11868	4301
734	11883	4284
735	11900	4268
736	11916	4252
737	11930	4235
738	11947	4219
739	11962	4202
740	11977	4186
741	11993	4170
742	12009	4153
743	12024	4137
744	12039	4121
745	12056	4104
746	12071	4088
747	12086	4071
748	12101	4055
749	12116	4038
750	12133	4022
751	12148	4006
752	12164	3990
753	12180	3974
754	12197	3958
755	12213	3941
756	12230	3925
757	12245	3909
758	12261	3893
759	12278	3877
760	12292	3860
761	12308	3844
762	12324	3828
763	12340	3812
764	12355	3795
765	12371	3779
766	12387	3763
767	12403	3746
768	12419	3730
769	12435	3714
770	12450	3698
771	12464	3681
772	12479	3664
773	12496	3648
774	12512	3632
775	12528	3616
776	12544	3600
777	12560	3584
778	12578	3568
779	12598	3553
780	12616	3537
781	12634	3522
782	12651	3506
783	12668	3490
784	12685	3474
785	12702	3458
786	12719	3442
787	12735	3426
788	12752	3410
789	12768	3394
790	12786	3378
791	12804	3362
792	12820	3346
793	12836	3330
794	12854	3314
795	12869	3298
796	12885	3282
797	12901	3265
798	12916	3249
799	12930	3232
800	12946	3216
801	12963	3200
802	12979	3184
803	12994	3167
804	13009	3151
805	13025	3135
806	13040	3118
807	13055	3102
808	13071	3086
809	13087	3069
810	13103	3053
811	13120	3037
812	13137	3021
813	13153	3005
814	13170	2989
815	13186	2973
816	13201	2957
817	13217	2940
818	13233	2924
819	13249	2908
820	13264	2892
821	13281	2876
822	13297	2859
823	13313	2843
824	13328	2827
825	13343	2810
826	13359	2794
827	13375	2778
828	13392	2762
829	13409	2746
830	13424	2730
831	13440	2713
832	13455	2697
833	13471	2681
834	13487	2665
835	13502	2648
836	13518	2632
837	13534	2616
838	13550	2600
839	13568	2584
840	13584	2568
841	13601	2552
842	13618	2536
843	13634	2520
844	13649	2503
845	13665	2487
846	13680	2471
847	13697	2455
848	13712	2438
849	13728	2422
850	13743	2406
851	13758	2390
852	13774	2373
853	13789	2357
854	13805	2341
855	13821	2325
856	13836	2308
857	13852	2292
858	13868	2276
859	13884	2260
860	13899	2243
861	13914	2227
862	13929	2211
863	13944	2194
864	13960	2178
865	13976	2162
866	13991	2146
867	14006	2130
868	14022	2113
869	14039	2097
870	14055	2081
871	14070	2065
872	14085	2049
873	14100	2032
874	14117	2016
875	14132	2000
876	14147	1984
877	14162	1967
878	14179	1951
879	14195	1935
880	14211	1919
881	14225	1903
882	14241	1887
883	14257	1870
884	14273	1854
885	14288	1838
886	14304	1822
887	14320	1806
888	14335	1789
889	14351	1773
890	14366	1757
891	14382	1741
892	14398	1725
893	14413	1708
894	14428	1692
895	14444	1676
896	14460	1660
897	14475	1644
898	14491	1628
899	14506	1611
900	14522	1595
901	14539	1579
902	14556	1563
903	14574	1547
904	14592	1531
905	14609	1515
906	14624	1499
907	14642	1483
908	14658	1467
909	14676	1451
910	14693	1435
911	14710	1419
912	14726	1403
913	14743	1387
914	14760	1371
915	14778	1355
916	14794	1339
917	14811	1323
918	14828	1306
919	14845	1290
920	14861	1274
921	14877	1258
922	14892	1242
923	14910	1226
924	14926	1210
925	14944	1194
926	14960	1178
927	14977	1162
928	14994	1145
929	15012	1129
930	15027	1113
931	15043	1097
932	15059	1081
933	15074	1065
934	15090	1049
935	15107	1032
936	15122	1016
937	15138	1000
938	15154	984
939	15170	968
940	15187	952
941	15202	936
942	15217	919
943	15233	903
944	15249	887
945	15265	871
946	15280	855
947	15297	839
948	15311	822
949	15327	806
950	15343	790
951	15358	774
952	15374	758
953	15390	742
954	15406	725
955	15422	709
956	15437	693
957	15453	677
958	15469	661
959	15484	645
960	15500	629
961	15516	612
962	15534	596
963	15551	580
964	15566	564
965	15582	548
966	15597	532
967	15614	516
968	15631	500
969	15646	483
970	15661	467
971	15676	451
972	15693	435
973	15708	419
974	15724	403
975	15740	387
976	15756	370
977	15772	354
978	15788	338
979	15803	322
980	15819	306
981	15835	290
982	15851	274
983	15867	258
984	15882	241
985	15898	225
986	15915	209
987	15930	193
988	15945	177
989	15961	161
990	15976	145
991	15993	128
992	16008	112
993	16025	96
994	16040	80
995	16056	64
996	16072	48
997	16088	32
998	16104	16
999	16120	0
